Kecamatan,,,,,,,,,
,Jumlah Ruang Kelas Sekolah Dasar Menurut Kondisi,,,,,,,,
,Baik,,,Rusak Ringan,,,Rusak Berat,,
,2015,2016,2017,2015,2016,2017,2015,2016,2017
Silaut,8,9,1,73,72,65,-,-,13
Lunang,3,3,18,114,114,89,3,2,6
Basa Ampek Balai Tapan,1,-,-,52,68,71,31,13,13
Ranah Ampek Hulu Tapan,17,22,17,64,64,62,6,6,15
Pancung Soal,45,58,27,83,62,108,-,-,-
Airpura,5,11,12,81,74,76,1,1,1
Linggo Sari Baganti,93,115,94,164,156,168,8,8,4
Ranah Pesisir,44,41,45,136,137,137,22,19,16
Lengayang,117,141,88,195,173,215,16,24,30
Sutera,34,37,41,228,221,226,10,13,22
Batang Kapas,75,86,62,124,124,126,17,6,19
IV Jurai,49,50,56,195,198,196,10,6,14
Bayang,86,88,77,150,145,153,17,18,16
IV Nagari Bayang Utara,4,3,8,46,55,52,4,-,-
Koto XI Tarusan,75,80,31,225,212,248,5,12,16
KABUPATEN PESISIR SELATAN,656,744,577,1930,1875,1992,150,128,185